Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
1,BRT,0.598,992.0,2.8923567088459112
2,BRT,0.452,1430.0,2.1861960407999197
3,BRT,0.899,348.0,4.348208497077716
4,BRT,0.672,668.0,3.250273759773332
5,BRT,0.437,1562.0,2.1136452872335507
6,BRT,0.567,1028.0,2.7424184848087485
7,BRT,0.599,990.0,2.897193425750336
8,BRT,0.509,1367.0,2.461888904352122
9,BRT,0.566,1034.0,2.7375817679043237
10,BRT,0.647,877.0,3.129355837162717
11,BRT,0.341,2640.0,1.649320464408789
12,BRT,0.685,559.0,3.313151079530852
13,BRT,0.431,1730.0,2.084624985807003
14,BRT,1.099,18.0,5.315551877962636
15,BRT,0.65,852.0,3.1438659878759907
16,BRT,1.185,2.0,5.731509531743153
17,BRT,0.498,1400.0,2.4086850184034514
18,BRT,0.548,1059.0,2.6505208636246818
19,BRT,0.341,2640.0,1.649320464408789
20,BRT,0.43,1757.0,2.0797882689025786
21,BRT,0.395,2068.0,1.9105031772477175
22,BRT,0.448,1446.0,2.1668491731822215
23,BRT,0.677,606.0,3.274457344295455
24,BRT,0.676,620.0,3.2696206273910304
25,BRT,0.377,2354.0,1.8234422729680746
26,BRT,0.411,1883.0,1.987890647718511
27,BRT,0.433,1684.0,2.094298419615852
28,BRT,0.434,1655.0,2.099135136520277
29,BRT,0.588,1012.0,2.8439895398016652
30,BRT,0.398,1997.0,1.9250133279609913
31,BRT,0.522,1257.0,2.524766224109642
32,BRT,0.411,1883.0,1.987890647718511
33,BRT,0.5,1396.0,2.4183584522123005
34,BRT,0.328,2704.0,1.5864431446512692
35,BRT,0.359,2556.0,1.7363813686884317
36,BRT,0.401,1959.0,1.9395234786742652
37,BRT,0.689,535.0,3.33249794714855
38,BRT,0.7,498.0,3.3857018330972206
39,BRT,1.118,13.0,5.407449499146704
40,BRT,0.538,1109.0,2.6021536945804353
41,BRT,0.667,699.0,3.2260901752512092
42,BRT,0.381,2262.0,1.842789140585773
43,BRT,0.333,2693.0,1.6106267291733922
44,BRT,0.319,2731.0,1.5429126925114478
45,BRT,0.428,1787.0,2.070114835093729
46,BRT,0.686,555.0,3.3179877964352764
47,BRT,0.52,1285.0,2.5150927903007925
48,BRT,0.431,1730.0,2.084624985807003
49,BRT,0.392,2128.0,1.8959930265344436
50,BRT,0.393,2102.0,1.9008297434388683
51,BRT,1.022,119.0,4.9431246763219425
52,BRT,0.794,371.0,3.8403532221131336
53,BRT,0.358,2557.0,1.7315446517840072
54,BRT,0.393,2102.0,1.9008297434388683
55,BRT,0.661,742.0,3.1970698738246615
56,BRT,0.702,495.0,3.3953752669060697
57,BRT,0.504,1381.0,2.4377053198299987
58,BRT,0.665,718.0,3.2164167414423597
59,BRT,0.286,2773.0,1.3833010346654357
60,BRT,0.336,2675.0,1.625136879886666
61,BRT,0.297,2766.0,1.4365049206141065
62,BRT,0.523,1236.0,2.5296029410140664
63,BRT,0.394,2087.0,1.905666460343293
64,BRT,0.645,890.0,3.1196824033538677
65,BRT,0.337,2668.0,1.6299735967910907
66,BRT,0.545,1067.0,2.636010712911408
67,BRT,0.422,1815.0,2.0410945336671817
68,BRT,0.398,1997.0,1.9250133279609913
69,BRT,0.6,984.0,2.9020301426547603
70,BRT,1.023,111.0,4.947961393226366
71,BRT,0.381,2262.0,1.842789140585773
72,BRT,0.438,1538.0,2.118482004137975
73,BRT,0.44,1502.0,2.1281554379468246
74,BRT,0.381,2262.0,1.842789140585773
75,BRT,0.353,2581.0,1.707361067261884
76,BRT,0.661,742.0,3.1970698738246615
77,BRT,0.377,2354.0,1.8234422729680746
78,BRT,0.527,1185.0,2.548949808631765
79,BRT,0.388,2178.0,1.8766461589167454
80,BRT,0.916,326.0,4.430432684452935
81,BRT,0.349,2603.0,1.6880141996441855
82,BRT,0.44,1502.0,2.1281554379468246
83,BRT,0.458,1420.0,2.2152163422264675
84,BRT,0.971,198.0,4.696452114196288
85,BRT,0.53,1165.0,2.5634599593450385
86,BRT,0.341,2640.0,1.649320464408789
87,BRT,0.394,2087.0,1.905666460343293
88,BRT,0.932,287.0,4.507820154923729
89,BRT,0.527,1185.0,2.548949808631765
90,BRT,0.383,2227.0,1.8524625743946221
91,BRT,0.624,962.0,3.018111348360951
92,BRT,0.371,2481.0,1.794421971541527
93,BRT,0.392,2128.0,1.8959930265344436
94,BRT,0.399,1978.0,1.929850044865416
95,BRT,0.711,476.0,3.4389057190458914
96,BRT,0.361,2542.0,1.7460548024972808
97,BRT,0.784,385.0,3.791986053068887
98,BRT,0.646,887.0,3.1245191202582925
99,BRT,0.673,654.0,3.2551104766777565
100,BRT,0.326,2710.0,1.57676971084242
101,BRT,0.495,1409.0,2.3941748676901775
102,BRT,0.419,1837.0,2.026584382953908
103,BRT,0.44,1502.0,2.1281554379468246
104,BRT,0.681,578.0,3.2938042119131534
105,BRT,0.598,992.0,2.8923567088459112
106,BRT,0.402,1949.0,1.9443601955786898
107,BRT,0.535,1131.0,2.587643543867162
108,BRT,0.914,330.0,4.420759250644085
109,BRT,0.433,1684.0,2.094298419615852
110,BRT,0.383,2227.0,1.8524625743946221
111,BRT,0.431,1730.0,2.084624985807003
112,BRT,0.533,1149.0,2.5779701100583123
113,BRT,0.559,1037.0,2.703724749573352
114,BRT,0.629,955.0,3.042294932883074
115,BRT,0.51,1363.0,2.4667256212565465
116,BRT,0.912,340.0,4.411085816835237
117,BRT,0.93,293.0,4.498146721114879
118,BRT,0.404,1935.0,1.9540336293875389
119,BRT,0.417,1843.0,2.0169109491450588
120,BRT,0.425,1801.0,2.055604684380455
121,BRT,0.433,1684.0,2.094298419615852
122,BRT,0.367,2503.0,1.7750751039238286
123,BRT,0.44,1502.0,2.1281554379468246
124,BRT,0.69,531.0,3.3373346640529746
125,BRT,0.35,2599.0,1.6928509165486103
126,BRT,0.655,800.0,3.1680495723981137
127,BRT,1.042,75.0,5.0398590144104345
128,BRT,0.53,1165.0,2.5634599593450385
129,BRT,0.33,2701.0,1.5961165784601183
130,BRT,0.63,954.0,3.0471316497874987
131,BRT,0.362,2535.0,1.7508915194017056
132,BRT,0.412,1867.0,1.9927273646229355
133,BRT,0.387,2187.0,1.8718094420123206
134,BRT,0.435,1621.0,2.1039718534247016
135,BRT,0.508,1369.0,2.4570521874476974
136,BRT,0.401,1959.0,1.9395234786742652
137,BRT,0.773,392.0,3.738782167120217
138,BRT,0.661,742.0,3.1970698738246615
139,BRT,0.436,1590.0,2.108808570329126
140,BRT,0.404,1935.0,1.9540336293875389
141,BRT,0.523,1236.0,2.5296029410140664
142,BRT,0.65,852.0,3.1438659878759907
143,BRT,0.374,2433.0,1.8089321222548007
144,BRT,1.016,134.0,4.914104374895395
145,BRT,0.661,742.0,3.1970698738246615
146,BRT,0.922,314.0,4.459452985879483
147,BRT,0.376,2389.0,1.81860555606365
148,BRT,0.535,1131.0,2.587643543867162
149,BRT,0.791,373.0,3.8258430713998597
150,BRT,0.42,1830.0,2.031421099858332
151,BRT,0.372,2465.0,1.7992586884459516
152,BRT,0.449,1442.0,2.171685890086646
153,BRT,0.648,871.0,3.1341925540671416
154,BRT,0.432,1712.0,2.0894617027114277
155,BRT,0.353,2581.0,1.707361067261884
156,BRT,0.392,2128.0,1.8959930265344436
157,BRT,0.532,1158.0,2.573133393153888
158,BRT,0.435,1621.0,2.1039718534247016
159,BRT,0.384,2219.0,1.857299291299047
160,BRT,1.085,25.0,5.247837841300692
161,BRT,0.432,1712.0,2.0894617027114277
162,BRT,0.391,2149.0,1.891156309630019
163,BRT,0.419,1837.0,2.026584382953908
164,BRT,0.6,984.0,2.9020301426547603
165,BRT,0.416,1850.0,2.012074232240634
166,BRT,0.553,1045.0,2.6747044481468047
167,BRT,0.678,592.0,3.2792940611998795
168,BRT,0.347,2616.0,1.6783407658353364
169,BRT,0.326,2710.0,1.57676971084242
170,BRT,0.436,1590.0,2.108808570329126
171,BRT,0.644,899.0,3.114845686449443
172,BRT,0.511,1348.0,2.4715623381609713
173,BRT,0.337,2668.0,1.6299735967910907
174,BRT,0.418,1841.0,2.021747666049483
175,BRT,0.38,2288.0,1.8379524236813485
176,BRT,1.006,147.0,4.865737205851149
177,BRT,0.387,2187.0,1.8718094420123206
178,BRT,0.659,763.0,3.1873964400158123
179,BRT,0.649,862.0,3.1390292709715664
180,BRT,0.329,2702.0,1.5912798615556938
181,BRT,0.947,250.0,4.580370908490097
182,BRT,0.432,1712.0,2.0894617027114277
183,BRT,1.055,46.0,5.102736334167954
184,BRT,0.517,1314.0,2.5005826395875186
185,BRT,0.539,1098.0,2.60699041148486
186,BRT,0.435,1621.0,2.1039718534247016
187,BRT,0.391,2149.0,1.891156309630019
188,BRT,0.652,827.0,3.15353942168484
189,BRT,0.336,2675.0,1.625136879886666
190,BRT,0.403,1943.0,1.9491969124831143
191,BRT,0.969,204.0,4.686778680387438
192,BRT,0.383,2227.0,1.8524625743946221
193,BRT,0.923,311.0,4.464289702783907
194,BRT,0.986,173.0,4.769002867762657
195,BRT,0.374,2433.0,1.8089321222548007
196,BRT,0.546,1063.0,2.640847429815832
197,BRT,0.537,1117.0,2.597316977676011
198,BRT,0.978,189.0,4.7303091325272595
199,BRT,0.511,1348.0,2.4715623381609713
200,BRT,0.398,1997.0,1.9250133279609913
201,BRT,0.639,922.0,3.09066210192732
202,BRT,0.526,1204.0,2.5441130917273402
203,BRT,0.434,1655.0,2.099135136520277
204,BRT,0.68,584.0,3.288967495008729
205,BRT,0.369,2493.0,1.7847485377326777
206,BRT,0.527,1185.0,2.548949808631765
207,BRT,0.43,1757.0,2.0797882689025786
208,BRT,0.692,527.0,3.3470080978618237
209,BRT,0.502,1388.0,2.4280318860211496
210,BRT,0.379,2299.0,1.8331157067769237
211,BRT,0.945,260.0,4.570697474681248
212,BRT,0.377,2354.0,1.8234422729680746
213,BRT,0.378,2322.0,1.8282789898724991
214,BRT,0.353,2581.0,1.707361067261884
215,BRT,0.969,204.0,4.686778680387438
216,BRT,0.375,2405.0,1.8137688391592255
217,BRT,0.52,1285.0,2.5150927903007925
218,BRT,0.438,1538.0,2.118482004137975
219,BRT,0.673,654.0,3.2551104766777565
220,BRT,0.921,319.0,4.454616268975058
221,BRT,0.734,436.0,3.5501502078476572
222,BRT,0.674,641.0,3.2599471935821813
223,BRT,0.645,890.0,3.1196824033538677
224,BRT,0.378,2322.0,1.8282789898724991
225,BRT,0.297,2766.0,1.4365049206141065
226,BRT,0.536,1128.0,2.592480260771586
227,BRT,0.395,2068.0,1.9105031772477175
228,BRT,0.375,2405.0,1.8137688391592255
229,BRT,0.436,1590.0,2.108808570329126
230,BRT,0.675,627.0,3.264783910486606
231,BRT,1.009,140.0,4.880247356564422
232,BRT,0.953,235.0,4.6093912099166445
233,BRT,0.453,1427.0,2.1910327577043445
234,BRT,0.674,641.0,3.2599471935821813
235,BRT,0.353,2581.0,1.707361067261884
236,BRT,0.677,606.0,3.274457344295455
237,BRT,0.533,1149.0,2.5779701100583123
238,BRT,0.331,2697.0,1.6009532953645431
239,BRT,0.376,2389.0,1.81860555606365
240,BRT,0.537,1117.0,2.597316977676011
241,BRT,1.055,46.0,5.102736334167954
242,BRT,0.437,1562.0,2.1136452872335507
243,BRT,0.436,1590.0,2.108808570329126
244,BRT,0.371,2481.0,1.794421971541527
245,BRT,0.435,1621.0,2.1039718534247016
246,BRT,0.657,785.0,3.177723006206963
