Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
1,BRT,0.375,1155.0,2.100139135686592
2,BRT,0.124,2554.0,0.6944460075336998
3,BRT,0.217,2120.0,1.2152805131839746
4,BRT,0.424,896.0,2.3745573160829734
5,BRT,0.18,2284.0,1.0080667851295642
6,BRT,0.295,1649.0,1.6521094534067857
7,BRT,0.354,1261.0,1.982531344088143
8,BRT,0.293,1664.0,1.6409087113497904
9,BRT,0.488,585.0,2.7329810619068184
10,BRT,0.489,583.0,2.738581432935316
11,BRT,0.417,927.0,2.33535471888349
12,BRT,0.388,1074.0,2.1729439590570605
13,BRT,0.144,2469.0,0.8064534281036513
14,BRT,0.156,2389.0,0.8736578804456223
15,BRT,0.491,579.0,2.749782174992311
16,BRT,0.2,2201.0,1.1200742056995159
17,BRT,0.494,564.0,2.766583288077804
18,BRT,0.325,1436.0,1.8201205842617132
19,BRT,0.322,1456.0,1.8033194711762204
20,BRT,0.113,2618.0,0.6328419262202264
21,BRT,0.203,2183.0,1.1368753187850087
22,BRT,0.47,668.0,2.632174383393862
23,BRT,0.432,844.0,2.419360284310954
24,BRT,0.495,556.0,2.7721836591063016
25,BRT,0.356,1250.0,1.993732086145138
26,BRT,0.36,1223.0,2.0161335702591283
27,BRT,0.39,1064.0,2.184144701114056
28,BRT,0.117,2597.0,0.6552434103342167
29,BRT,0.433,837.0,2.4249606553394516
30,BRT,0.154,2399.0,0.8624571383886271
31,BRT,0.314,1509.0,1.7585165029482397
32,BRT,0.554,372.0,3.102605549787659
33,BRT,0.343,1329.0,1.9209272627746696
34,BRT,0.531,432.0,2.9737970161322145
35,BRT,0.57,328.0,3.1922114862436195
36,BRT,0.108,2647.0,0.6048400710777385
37,BRT,0.37,1176.0,2.072137280544104
38,BRT,0.655,178.0,3.6682430236659145
39,BRT,0.719,110.0,4.026666769489759
40,BRT,0.297,1641.0,1.6633101954637808
41,BRT,0.44,802.0,2.4641632525389348
42,BRT,0.275,1799.0,1.5401020328368342
43,BRT,0.533,425.0,2.9849977581892095
44,BRT,0.724,107.0,4.054668624632247
45,BRT,0.394,1040.0,2.206546185228046
46,BRT,0.407,970.0,2.2793510085985145
47,BRT,0.269,1838.0,1.5064998066658488
48,BRT,0.172,2314.0,0.9632638169015835
49,BRT,0.147,2452.0,0.8232545411891441
50,BRT,0.156,2389.0,0.8736578804456223
51,BRT,0.664,169.0,3.7186463629223927
52,BRT,0.605,263.0,3.3882244722410353
53,BRT,0.519,469.0,2.9065925637902437
54,BRT,0.113,2618.0,0.6328419262202264
55,BRT,0.417,927.0,2.33535471888349
56,BRT,0.31,1540.0,1.7361150188342493
57,BRT,0.259,1887.0,1.450496096380873
58,BRT,0.386,1085.0,2.1617432170000654
59,BRT,0.774,62.0,4.334687176057126
60,BRT,0.323,1451.0,1.8089198422047181
61,BRT,0.549,385.0,3.074603694645171
62,BRT,0.309,1546.0,1.7305146478057518
63,BRT,0.172,2314.0,0.9632638169015835
64,BRT,0.486,598.0,2.7217803198498234
65,BRT,0.306,1565.0,1.713713534720259
66,BRT,0.313,1517.0,1.7529161319197422
67,BRT,0.119,2585.0,0.6664441523912119
68,BRT,0.165,2349.0,0.9240612197021005
69,BRT,0.789,54.0,4.41869274148459
70,BRT,0.501,527.0,2.8057858852772872
71,BRT,0.147,2452.0,0.8232545411891441
72,BRT,0.124,2554.0,0.6944460075336998
73,BRT,0.191,2243.0,1.0696708664430377
74,BRT,0.693,138.0,3.881057122748822
75,BRT,0.741,87.0,4.149874932116706
76,BRT,0.306,1565.0,1.713713534720259
77,BRT,0.25,1950.0,1.4000927571243946
78,BRT,0.339,1352.0,1.8985257786606793
79,BRT,0.227,2077.0,1.2712842234689505
80,BRT,0.284,1720.0,1.5905053720933122
81,BRT,0.509,494.0,2.850588853505268
82,BRT,0.648,189.0,3.6290404264664313
83,BRT,0.154,2399.0,0.8624571383886271
84,BRT,0.64,200.0,3.5842374582384506
85,BRT,0.273,1815.0,1.5289012907798392
86,BRT,0.413,943.0,2.3129532347695
87,BRT,0.175,2302.0,0.9800649299870763
88,BRT,0.117,2597.0,0.6552434103342167
89,BRT,0.287,1702.0,1.607306485178805
90,BRT,0.327,1425.0,1.8313213263187085
91,BRT,0.417,927.0,2.33535471888349
92,BRT,0.258,1902.0,1.4448957253523753
93,BRT,0.707,120.0,3.9594623171477883
94,BRT,0.182,2276.0,1.0192675271865594
95,BRT,0.287,1702.0,1.607306485178805
96,BRT,0.615,246.0,3.444228182526011
97,BRT,0.384,1101.0,2.1505424749430704
98,BRT,0.285,1716.0,1.5961057431218098
99,BRT,0.475,639.0,2.6601762385363497
100,BRT,0.789,54.0,4.41869274148459
101,BRT,0.46,708.0,2.5761706731088863
102,BRT,0.246,1979.0,1.3776912730104043
103,BRT,0.128,2534.0,0.7168474916476901
104,BRT,0.539,410.0,3.018599984360195
105,BRT,0.292,1672.0,1.635308340321293
106,BRT,0.13,2524.0,0.7280482337046853
107,BRT,0.245,1990.0,1.3720909019819068
108,BRT,0.169,2335.0,0.9464627038160909
109,BRT,0.228,2071.0,1.276884594497448
110,BRT,0.636,210.0,3.56183597412446
111,BRT,0.293,1664.0,1.6409087113497904
112,BRT,0.382,1111.0,2.1393417328860753
113,BRT,0.234,2043.0,1.3104868206684335
114,BRT,0.312,1523.0,1.7473157608912446
115,BRT,0.299,1627.0,1.674510937520776
116,BRT,0.28,1756.0,1.5681038879793223
117,BRT,0.691,140.0,3.869856380691827
118,BRT,0.177,2297.0,0.9912656720440715
119,BRT,0.292,1672.0,1.635308340321293
120,BRT,0.113,2618.0,0.6328419262202264
121,BRT,0.104,2666.0,0.5824385869637482
122,BRT,0.406,984.0,2.2737506375700174
123,BRT,0.186,2264.0,1.0416690113005496
124,BRT,0.312,1523.0,1.7473157608912446
125,BRT,0.495,556.0,2.7721836591063016
126,BRT,0.345,1315.0,1.9321280048316645
127,BRT,0.566,338.0,3.1698100021296294
128,BRT,0.279,1767.0,1.5625035169508246
129,BRT,0.732,99.0,4.099471592860228
130,BRT,0.53,435.0,2.968196645103717
131,BRT,0.72,109.0,4.032267140518257
132,BRT,0.707,120.0,3.9594623171477883
133,BRT,0.181,2279.0,1.0136671561580617
134,BRT,0.096,2707.0,0.5376356187357676
135,BRT,0.323,1451.0,1.8089198422047181
136,BRT,0.113,2618.0,0.6328419262202264
137,BRT,0.496,550.0,2.777784030134799
138,BRT,0.365,1197.0,2.0441354254016164
139,BRT,0.2,2201.0,1.1200742056995159
140,BRT,0.137,2507.0,0.7672508309041683
141,BRT,0.408,963.0,2.284951379627012
142,BRT,0.349,1286.0,1.9545294889456548
143,BRT,0.474,645.0,2.654575867507852
144,BRT,0.075,2777.0,0.4200278271373184
145,BRT,0.368,1185.0,2.060936538487109
146,BRT,0.42,912.0,2.3521558319689833
147,BRT,0.256,1916.0,1.4336949832953803
148,BRT,0.152,2414.0,0.851256396331632
149,BRT,0.839,33.0,4.6987112929094685
150,BRT,0.288,1700.0,1.6129068562073026
151,BRT,0.597,283.0,3.3434215040130546
152,BRT,0.134,2512.0,0.7504497178186756
153,BRT,0.382,1111.0,2.1393417328860753
154,BRT,0.107,2651.0,0.5992397000492409
155,BRT,0.195,2220.0,1.092072350557028
156,BRT,0.483,612.0,2.7049792067643303
157,BRT,0.374,1159.0,2.0945387646580946
158,BRT,0.126,2543.0,0.705646749590695
159,BRT,0.5,531.0,2.8001855142487893
160,BRT,0.438,815.0,2.4529625104819397
161,BRT,0.238,2023.0,1.3328883047824238
162,BRT,0.495,556.0,2.7721836591063016
163,BRT,0.234,2043.0,1.3104868206684335
164,BRT,0.574,316.0,3.21461297035761
165,BRT,0.269,1838.0,1.5064998066658488
166,BRT,0.258,1902.0,1.4448957253523753
167,BRT,0.279,1767.0,1.5625035169508246
168,BRT,0.474,645.0,2.654575867507852
169,BRT,0.397,1020.0,2.2233472983135387
170,BRT,0.625,228.0,3.500231892810987
171,BRT,0.363,1210.0,2.032934683344621
172,BRT,0.287,1702.0,1.607306485178805
173,BRT,0.329,1412.0,1.8425220683757035
174,BRT,0.359,1225.0,2.010533199230631
175,BRT,0.212,2143.0,1.1872786580414867
176,BRT,0.491,579.0,2.749782174992311
177,BRT,0.486,598.0,2.7217803198498234
178,BRT,0.329,1412.0,1.8425220683757035
179,BRT,0.334,1381.0,1.8705239235181914
180,BRT,0.547,391.0,3.063402952588176
181,BRT,0.13,2524.0,0.7280482337046853
182,BRT,0.159,2375.0,0.890458993531115
183,BRT,0.458,716.0,2.564969931051891
184,BRT,0.376,1146.0,2.1057395067150897
185,BRT,0.259,1887.0,1.450496096380873
186,BRT,0.336,1366.0,1.8817246655751867
187,BRT,0.488,585.0,2.7329810619068184
188,BRT,0.622,236.0,3.483430779725494
189,BRT,0.304,1585.0,1.702512792663264
190,BRT,0.122,2569.0,0.6832452654767046
191,BRT,0.143,2478.0,0.8008530570751538
192,BRT,0.536,416.0,3.0017988712747026
193,BRT,0.799,47.0,4.4746964517695655
194,BRT,0.555,364.0,3.1082059208161565
195,BRT,0.302,1599.0,1.6913120506062689
196,BRT,0.425,891.0,2.380157687111471
197,BRT,0.274,1807.0,1.5345016618083367
198,BRT,0.157,2382.0,0.8792582514741198
199,BRT,0.499,538.0,2.7945851432202917
