Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
1,GAM,0.555,635.0,3.6153902131814055
2,GAM,0.393,1940.0,2.5600871239284544
3,GAM,0.862,121.0,5.61525470948175
4,GAM,0.444,1112.0,2.8923121705451242
5,GAM,0.375,2285.0,2.442831225122571
6,GAM,0.505,702.0,3.2896793831650624
7,GAM,0.572,584.0,3.726131895386961
8,GAM,0.391,1972.0,2.547058690727801
9,GAM,0.582,538.0,3.79127406139023
10,GAM,0.458,888.0,2.9835112029497
11,GAM,0.404,1807.0,2.63174350653205
12,GAM,0.551,645.0,3.589333346780098
13,GAM,0.373,2360.0,2.4298027919219174
14,GAM,0.966,7.0,6.292733235915743
15,GAM,0.458,888.0,2.9835112029497
16,GAM,0.812,251.0,5.289543879465407
17,GAM,0.391,1972.0,2.547058690727801
18,GAM,0.439,1209.0,2.85974108754349
19,GAM,0.415,1622.0,2.703399889135645
20,GAM,0.372,2388.0,2.4232885753215903
21,GAM,0.371,2423.0,2.4167743587212636
22,GAM,0.392,1963.0,2.5535729073281277
23,GAM,0.443,1136.0,2.885797953944797
24,GAM,0.441,1175.0,2.8727695207441437
25,GAM,0.358,2577.0,2.3320895429170143
26,GAM,0.468,754.0,3.048653368952969
27,GAM,0.385,2049.0,2.5079733911258395
28,GAM,0.371,2423.0,2.4167743587212636
29,GAM,0.564,607.0,3.674018162584346
30,GAM,0.372,2388.0,2.4232885753215903
31,GAM,0.505,702.0,3.2896793831650624
32,GAM,0.461,844.0,3.0030538527506807
33,GAM,0.394,1926.0,2.5666013405287815
34,GAM,0.355,2621.0,2.312546893116034
35,GAM,0.414,1643.0,2.696885672535318
36,GAM,0.372,2388.0,2.4232885753215903
37,GAM,0.447,1051.0,2.9118548203461048
38,GAM,0.603,445.0,3.928072609997094
39,GAM,0.88,65.0,5.732510608287633
40,GAM,0.432,1350.0,2.8141415713412017
41,GAM,0.442,1145.0,2.8792837373444704
42,GAM,0.412,1681.0,2.6838572393346647
43,GAM,0.348,2713.0,2.2669473769137456
44,GAM,0.359,2565.0,2.338603759517341
45,GAM,0.448,1033.0,2.9183690369464315
46,GAM,0.618,404.0,4.025785859001997
47,GAM,0.426,1424.0,2.7750562717392406
48,GAM,0.373,2360.0,2.4298027919219174
49,GAM,0.371,2423.0,2.4167743587212636
50,GAM,0.371,2423.0,2.4167743587212636
