Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
1,GAM,0.282,1763.0,1.3909101401312745
2,GAM,0.151,2541.0,0.7447781246802215
3,GAM,0.334,1313.0,1.6473900241271127
4,GAM,0.333,1321.0,1.6424577186656542
5,GAM,0.189,2404.0,0.9322057322156415
6,GAM,0.24,2158.0,1.1837533107500209
7,GAM,0.354,1183.0,1.7460361333562808
8,GAM,0.289,1703.0,1.4254362783614836
9,GAM,0.337,1293.0,1.662186940511488
10,GAM,0.431,747.0,2.1258236538885793
11,GAM,0.42,804.0,2.0715682938125366
12,GAM,0.354,1183.0,1.7460361333562808
13,GAM,0.16,2505.0,0.7891688738333473
14,GAM,0.269,1907.0,1.3267901691323152
15,GAM,0.446,699.0,2.1998082358104556
16,GAM,0.332,1332.0,1.6375254132041959
17,GAM,0.49,555.0,2.416829676114626
18,GAM,0.293,1657.0,1.4451655002073172
19,GAM,0.256,2031.0,1.2626701981333557
20,GAM,0.133,2637.0,0.65599662637397
21,GAM,0.25,2086.0,1.2330763653646053
22,GAM,0.543,446.0,2.678241865571923
23,GAM,0.358,1153.0,1.7657653552021146
24,GAM,0.456,668.0,2.24913129042504
25,GAM,0.499,536.0,2.461220425267752
26,GAM,0.459,658.0,2.2639282068094153
27,GAM,0.486,568.0,2.3971004542687924
28,GAM,0.113,2725.0,0.5573505171448015
29,GAM,0.368,1084.0,1.8150884098166988
30,GAM,0.165,2484.0,0.8138304011406394
31,GAM,0.33,1349.0,1.6276608022812789
32,GAM,0.6,330.0,2.9593832768750525
33,GAM,0.29,1695.0,1.4303685838229419
34,GAM,0.484,573.0,2.387235843345876
35,GAM,0.752,136.0,3.7090937070167325
36,GAM,0.138,2607.0,0.6806581536812621
37,GAM,0.294,1643.0,1.4500978056687757
38,GAM,0.636,263.0,3.1369462734875557
39,GAM,0.81,101.0,3.995167423781321
40,GAM,0.271,1887.0,1.3366547800552322
41,GAM,0.334,1313.0,1.6473900241271127
42,GAM,0.248,2106.0,1.2232117544416883
43,GAM,0.378,1026.0,1.864411464431283
44,GAM,0.494,549.0,2.43655889796046
45,GAM,0.43,751.0,2.120891348427121
46,GAM,0.362,1126.0,1.7854945770479482
47,GAM,0.241,2151.0,1.1886856162114794
48,GAM,0.169,2469.0,0.8335596229864731
49,GAM,0.174,2458.0,0.8582211502937651
50,GAM,0.187,2411.0,0.9223411212927247
51,GAM,0.575,385.0,2.8360756403385916
52,GAM,0.572,390.0,2.8212787239542165
53,GAM,0.427,767.0,2.1060944320427457
54,GAM,0.13,2650.0,0.6411997099895947
55,GAM,0.357,1164.0,1.7608330497406561
56,GAM,0.267,1916.0,1.3169255582093984
57,GAM,0.249,2096.0,1.2281440599031468
58,GAM,0.285,1734.0,1.4057070565156498
59,GAM,0.542,450.0,2.6733095601104644
60,GAM,0.399,912.0,1.96798987912191
61,GAM,0.376,1039.0,1.8545468535083662
62,GAM,0.282,1763.0,1.3909101401312745
63,GAM,0.339,1273.0,1.6720515514344048
64,GAM,0.398,918.0,1.9630575736604516
65,GAM,0.325,1385.0,1.6029992749739868
66,GAM,0.311,1502.0,1.533946998513569
67,GAM,0.137,2615.0,0.6757258482198037
68,GAM,0.184,2420.0,0.9075442049083494
69,GAM,1.037,38.0,5.114800763532382
70,GAM,1.078,33.0,5.317025287452178
71,GAM,0.255,2047.0,1.2577378926718974
72,GAM,0.118,2707.0,0.5820120444520936
73,GAM,0.231,2222.0,1.1393625615968952
74,GAM,0.587,362.0,2.895263305876093
75,GAM,0.72,164.0,3.551259932250063
76,GAM,0.403,891.0,1.9877191009677437
77,GAM,0.386,982.0,1.9038699081229504
78,GAM,0.303,1563.0,1.4944885548219016
79,GAM,0.225,2256.0,1.1097687288281448
80,GAM,0.276,1830.0,1.3613163073625243
81,GAM,0.462,640.0,2.2787251231937904
82,GAM,0.696,190.0,3.4328846011750604
83,GAM,0.258,2009.0,1.2725348090562727
84,GAM,1.013,43.0,4.99642543245738
85,GAM,0.266,1929.0,1.31199325274794
86,GAM,0.424,779.0,2.09129751565837
87,GAM,0.332,1332.0,1.6375254132041959
88,GAM,0.13,2650.0,0.6411997099895947
89,GAM,0.313,1486.0,1.5438116094364858
90,GAM,0.373,1053.0,1.839749937123991
91,GAM,0.33,1349.0,1.6276608022812789
92,GAM,0.314,1476.0,1.548743914897944
93,GAM,0.549,437.0,2.707835698340673
94,GAM,0.21,2330.0,1.0357841469062683
95,GAM,0.309,1518.0,1.524082387590652
96,GAM,1.521,5.0,7.502036606878257
97,GAM,0.379,1020.0,1.8693437698927415
98,GAM,0.282,1763.0,1.3909101401312745
99,GAM,0.366,1096.0,1.805223798893782
100,GAM,1.148,20.0,5.662286669754267
101,GAM,0.426,772.0,2.101162126581287
102,GAM,0.321,1423.0,1.5832700531281532
103,GAM,0.153,2532.0,0.7546427356031383
104,GAM,0.464,633.0,2.2885897341167074
105,GAM,0.249,2096.0,1.2281440599031468
106,GAM,0.139,2597.0,0.6855904591427205
107,GAM,0.246,2120.0,1.2133471435187715
108,GAM,0.217,2302.0,1.0703102851364774
109,GAM,0.227,2247.0,1.1196333397510616
