Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
910,GAM,1.005,1.0,6.54678768332849
1307,GAM,1.005,1.0,6.54678768332849
2202,GAM,1.005,1.0,6.54678768332849
558,GAM,0.992,4.0,6.462102867524241
181,GAM,0.989,5.0,6.44256021772326
2174,GAM,0.982,6.0,6.396960701520973
14,GAM,0.966,7.0,6.292733235915743
273,GAM,0.966,7.0,6.292733235915743
1236,GAM,0.955,9.0,6.221076853312147
2029,GAM,0.954,10.0,6.21456263671182
2772,GAM,0.95,11.0,6.188505770310513
1345,GAM,0.949,12.0,6.181991553710186
425,GAM,0.948,13.0,6.175477337109859
1649,GAM,0.948,13.0,6.175477337109859
2685,GAM,0.948,13.0,6.175477337109859
1626,GAM,0.947,16.0,6.168963120509532
231,GAM,0.946,17.0,6.162448903909206
539,GAM,0.946,17.0,6.162448903909206
284,GAM,0.943,19.0,6.142906254108225
1960,GAM,0.943,19.0,6.142906254108225
2625,GAM,0.943,19.0,6.142906254108225
527,GAM,0.942,22.0,6.136392037507898
722,GAM,0.942,22.0,6.136392037507898
570,GAM,0.939,24.0,6.116849387706917
1607,GAM,0.938,25.0,6.11033517110659
2765,GAM,0.935,26.0,6.090792521305611
1012,GAM,0.934,27.0,6.0842783047052835
1428,GAM,0.934,27.0,6.0842783047052835
2732,GAM,0.931,29.0,6.064735654904303
474,GAM,0.93,30.0,6.058221438303977
191,GAM,0.927,31.0,6.038678788502996
2565,GAM,0.927,31.0,6.038678788502996
2392,GAM,0.923,33.0,6.0126219221016886
964,GAM,0.922,34.0,6.006107705501361
2121,GAM,0.92,35.0,5.993079272300708
1448,GAM,0.917,36.0,5.9735366224997275
2525,GAM,0.916,37.0,5.9670224058994
2011,GAM,0.915,38.0,5.960508189299073
928,GAM,0.914,39.0,5.953993972698747
1984,GAM,0.908,40.0,5.914908673096785
2317,GAM,0.908,40.0,5.914908673096785
645,GAM,0.907,42.0,5.908394456496459
989,GAM,0.907,42.0,5.908394456496459
1290,GAM,0.907,42.0,5.908394456496459
1909,GAM,0.907,42.0,5.908394456496459
2683,GAM,0.907,42.0,5.908394456496459
1114,GAM,0.905,47.0,5.8953660232958045
1485,GAM,0.905,47.0,5.8953660232958045
176,GAM,0.904,49.0,5.888851806695478
714,GAM,0.904,49.0,5.888851806695478
2210,GAM,0.904,49.0,5.888851806695478
1093,GAM,0.902,52.0,5.875823373494824
1327,GAM,0.901,53.0,5.869309156894498
1368,GAM,0.891,54.0,5.804166990891229
2345,GAM,0.889,55.0,5.791138557690575
2110,GAM,0.888,56.0,5.7846243410902485
1355,GAM,0.886,57.0,5.771595907889594
2478,GAM,0.886,57.0,5.771595907889594
326,GAM,0.885,59.0,5.765081691289268
612,GAM,0.885,59.0,5.765081691289268
1755,GAM,0.885,59.0,5.765081691289268
1287,GAM,0.883,62.0,5.752053258088614
1096,GAM,0.882,63.0,5.745539041488287
998,GAM,0.881,64.0,5.73902482488796
39,GAM,0.88,65.0,5.732510608287633
593,GAM,0.88,65.0,5.732510608287633
1884,GAM,0.88,65.0,5.732510608287633
1534,GAM,0.877,68.0,5.712967958486653
1727,GAM,0.877,68.0,5.712967958486653
955,GAM,0.876,70.0,5.7064537418863255
648,GAM,0.875,71.0,5.699939525285999
761,GAM,0.875,71.0,5.699939525285999
1058,GAM,0.874,73.0,5.693425308685672
1206,GAM,0.874,73.0,5.693425308685672
2546,GAM,0.874,73.0,5.693425308685672
2583,GAM,0.874,73.0,5.693425308685672
591,GAM,0.873,77.0,5.686911092085345
1419,GAM,0.873,77.0,5.686911092085345
1906,GAM,0.872,79.0,5.680396875485019
1133,GAM,0.871,80.0,5.673882658884692
1265,GAM,0.871,80.0,5.673882658884692
2052,GAM,0.871,80.0,5.673882658884692
2574,GAM,0.871,80.0,5.673882658884692
2712,GAM,0.871,80.0,5.673882658884692
294,GAM,0.87,85.0,5.667368442284364
592,GAM,0.87,85.0,5.667368442284364
1837,GAM,0.87,85.0,5.667368442284364
51,GAM,0.869,88.0,5.660854225684038
480,GAM,0.869,88.0,5.660854225684038
652,GAM,0.869,88.0,5.660854225684038
1465,GAM,0.869,88.0,5.660854225684038
1714,GAM,0.869,88.0,5.660854225684038
2648,GAM,0.869,88.0,5.660854225684038
2730,GAM,0.869,88.0,5.660854225684038
2731,GAM,0.869,88.0,5.660854225684038
471,GAM,0.868,96.0,5.654340009083711
2218,GAM,0.868,96.0,5.654340009083711
2396,GAM,0.868,96.0,5.654340009083711
1611,GAM,0.867,99.0,5.647825792483384
2182,GAM,0.867,99.0,5.647825792483384
2472,GAM,0.867,99.0,5.647825792483384
2569,GAM,0.867,99.0,5.647825792483384
436,GAM,0.866,103.0,5.641311575883058
483,GAM,0.866,103.0,5.641311575883058
1868,GAM,0.866,103.0,5.641311575883058
2438,GAM,0.866,103.0,5.641311575883058
327,GAM,0.865,107.0,5.6347973592827305
577,GAM,0.865,107.0,5.6347973592827305
634,GAM,0.865,107.0,5.6347973592827305
779,GAM,0.865,107.0,5.6347973592827305
1139,GAM,0.865,107.0,5.6347973592827305
1718,GAM,0.865,107.0,5.6347973592827305
1822,GAM,0.865,107.0,5.6347973592827305
2072,GAM,0.865,107.0,5.6347973592827305
2271,GAM,0.865,107.0,5.6347973592827305
2331,GAM,0.865,107.0,5.6347973592827305
2536,GAM,0.865,107.0,5.6347973592827305
375,GAM,0.864,118.0,5.628283142682403
2578,GAM,0.864,118.0,5.628283142682403
699,GAM,0.863,120.0,5.621768926082076
3,GAM,0.862,121.0,5.61525470948175
711,GAM,0.862,121.0,5.61525470948175
951,GAM,0.862,121.0,5.61525470948175
399,GAM,0.86,124.0,5.602226276281096
84,GAM,0.859,125.0,5.5957120596807695
116,GAM,0.859,125.0,5.5957120596807695
275,GAM,0.859,125.0,5.5957120596807695
606,GAM,0.859,125.0,5.5957120596807695
681,GAM,0.859,125.0,5.5957120596807695
953,GAM,0.859,125.0,5.5957120596807695
1597,GAM,0.859,125.0,5.5957120596807695
2159,GAM,0.859,125.0,5.5957120596807695
408,GAM,0.858,133.0,5.589197843080442
507,GAM,0.858,133.0,5.589197843080442
2054,GAM,0.858,133.0,5.589197843080442
2541,GAM,0.858,133.0,5.589197843080442
1356,GAM,0.856,137.0,5.576169409879789
1991,GAM,0.856,137.0,5.576169409879789
2394,GAM,0.856,137.0,5.576169409879789
117,GAM,0.855,140.0,5.569655193279462
1418,GAM,0.855,140.0,5.569655193279462
1748,GAM,0.854,142.0,5.563140976679135
1936,GAM,0.854,142.0,5.563140976679135
2290,GAM,0.854,142.0,5.563140976679135
