Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
1,MLP,0.564,643.0,3.8689719665590605
2,MLP,0.352,2073.0,2.414677539412747
3,MLP,0.861,17.0,5.906356140438566
4,MLP,0.419,1292.0,2.8742894574259688
5,MLP,0.334,2238.0,2.2911997106927773
6,MLP,0.494,795.0,3.388780410425844
7,MLP,0.607,568.0,4.163946779612322
8,MLP,0.36,2034.0,2.4695565743994004
9,MLP,0.55,672.0,3.7729336553324178
10,MLP,0.421,1260.0,2.888009216172632
11,MLP,0.356,2059.0,2.4421170569060737
12,MLP,0.562,648.0,3.8552522078123976
13,MLP,0.318,2586.0,2.1814416407194703
14,MLP,0.748,173.0,5.131189771252088
15,MLP,0.435,1074.0,2.9840475273992757
16,MLP,0.718,245.0,4.925393390052138
17,MLP,0.356,2059.0,2.4421170569060737
18,MLP,0.418,1319.0,2.867429578052637
19,MLP,0.395,1702.0,2.709652352466009
20,MLP,0.317,2609.0,2.174581761346139
21,MLP,0.319,2567.0,2.188301520092802
22,MLP,0.351,2091.0,2.407817660039415
23,MLP,0.42,1276.0,2.8811493367993006
24,MLP,0.411,1436.0,2.8194104224393155
25,MLP,0.304,2665.0,2.085403329492827
26,MLP,0.497,783.0,3.409360048545839
27,MLP,0.334,2238.0,2.2911997106927773
28,MLP,0.323,2472.0,2.215741037586129
29,MLP,0.594,589.0,4.074768347759011
30,MLP,0.324,2432.0,2.2226009169594603
31,MLP,0.495,791.0,3.3956402897991755
32,MLP,0.478,879.0,3.279022340452537
33,MLP,0.354,2068.0,2.4283972981594104
34,MLP,0.34,2174.0,2.332358986932767
35,MLP,0.374,1920.0,2.565594885626044
36,MLP,0.327,2375.0,2.2431805550794555
37,MLP,0.423,1220.0,2.9017289749192954
38,MLP,0.645,454.0,4.424622195798926
39,MLP,0.735,194.0,5.042011339398776
40,MLP,0.423,1220.0,2.9017289749192954
41,MLP,0.418,1319.0,2.867429578052637
42,MLP,0.434,1084.0,2.977187648025944
43,MLP,0.378,1870.0,2.5930344031193706
44,MLP,0.347,2121.0,2.3803781425460886
45,MLP,0.506,761.0,3.471098962905824
46,MLP,0.575,628.0,3.944430639665709
47,MLP,0.397,1666.0,2.7233721112126723
48,MLP,0.318,2586.0,2.1814416407194703
49,MLP,0.325,2418.0,2.229460796332792
50,MLP,0.324,2432.0,2.2226009169594603
51,MLP,0.872,12.0,5.981814813545214
52,MLP,0.731,205.0,5.01457182190545
53,MLP,0.39,1763.0,2.6753529555993505
54,MLP,0.318,2586.0,2.1814416407194703
55,MLP,0.415,1387.0,2.846849939932642
56,MLP,0.577,620.0,3.9581503984123723
57,MLP,0.362,2024.0,2.4832763331460637
58,MLP,0.422,1244.0,2.894869095545964
59,MLP,0.323,2472.0,2.215741037586129
60,MLP,0.352,2073.0,2.414677539412747
61,MLP,0.334,2238.0,2.2911997106927773
62,MLP,0.399,1627.0,2.7370918699593356
63,MLP,0.316,2617.0,2.167721881972807
64,MLP,0.398,1646.0,2.730231990586004
65,MLP,0.348,2109.0,2.3872380219194205
66,MLP,0.518,726.0,3.5534175153858043
67,MLP,0.489,820.0,3.3544810135591856
68,MLP,0.326,2396.0,2.236320675706124
69,MLP,0.626,503.0,4.2942844877056245
70,MLP,0.764,134.0,5.2409478412253945
71,MLP,0.301,2691.0,2.064823691372832
72,MLP,0.342,2155.0,2.3460787456794305
73,MLP,0.344,2139.0,2.3597985044260934
74,MLP,0.433,1103.0,2.9703277686526124
75,MLP,0.374,1920.0,2.565594885626044
76,MLP,0.413,1408.0,2.833130181185979
77,MLP,0.298,2722.0,2.0442440532528368
78,MLP,0.407,1514.0,2.791970904945989
79,MLP,0.477,883.0,3.2721624610792053
80,MLP,0.745,184.0,5.110610133132092
81,MLP,0.368,1991.0,2.5244356093860536
82,MLP,0.518,726.0,3.5534175153858043
