Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
1,MLP,0.297,1583.0,1.1853238197241134
2,MLP,0.15,2503.0,0.5986483938000573
3,MLP,0.319,1420.0,1.273125584148122
4,MLP,0.293,1614.0,1.169359862556112
5,MLP,0.203,2256.0,0.8101708262760776
6,MLP,0.281,1729.0,1.1214679910521075
7,MLP,0.334,1311.0,1.3329904235281278
8,MLP,0.395,981.0,1.576440770340151
9,MLP,0.338,1283.0,1.3489543806961293
10,MLP,0.467,747.0,1.8637919993641787
11,MLP,0.436,838.0,1.7400713313121667
12,MLP,0.537,563.0,2.1431612498042054
13,MLP,0.137,2574.0,0.5467655330040524
14,MLP,0.169,2422.0,0.6744771903480646
15,MLP,0.554,520.0,2.211008067768212
16,MLP,0.217,2186.0,0.8660446763640829
17,MLP,0.47,738.0,1.8757649672401795
18,MLP,0.265,1876.0,1.0576121623801014
19,MLP,0.251,1998.0,1.001738312292096
20,MLP,0.147,2524.0,0.5866754259240562
21,MLP,0.183,2354.0,0.7303510404360699
22,MLP,0.523,602.0,2.0872873997162
23,MLP,0.35,1218.0,1.3968462522001337
24,MLP,0.501,653.0,1.9994856352921915
25,MLP,0.484,701.0,1.9316388173281849
26,MLP,0.433,854.0,1.7280983634361655
27,MLP,0.438,832.0,1.7480533098961675
28,MLP,0.122,2664.0,0.48690069362404664
29,MLP,0.344,1249.0,1.3729003164481315
30,MLP,0.135,2581.0,0.5387835544200517
31,MLP,0.321,1405.0,1.2811075627321227
32,MLP,1.103,59.0,4.402061189076422
33,MLP,0.301,1550.0,1.201287776892115
34,MLP,0.572,479.0,2.2828458750242184
35,MLP,1.4,20.0,5.587385008800535
36,MLP,0.13,2610.0,0.5188286079600497
37,MLP,0.276,1776.0,1.1015130445921055
38,MLP,0.603,425.0,2.4065665430762304
39,MLP,1.097,62.0,4.378115253324419
40,MLP,0.256,1955.0,1.021693258752098
41,MLP,0.311,1472.0,1.2411976698121188
42,MLP,0.22,2170.0,0.8780176442400841
43,MLP,0.404,955.0,1.6123596739681545
44,MLP,0.437,834.0,1.744062320604167
45,MLP,0.509,629.0,2.0314135496281946
46,MLP,0.341,1268.0,1.3609273485721305
47,MLP,0.293,1614.0,1.169359862556112
48,MLP,0.149,2511.0,0.5946574045080569
49,MLP,0.15,2503.0,0.5986483938000573
50,MLP,0.146,2534.0,0.5826844366320558
51,MLP,0.65,351.0,2.5941430398002487
52,MLP,0.659,333.0,2.630061943428252
53,MLP,0.45,788.0,1.7959451814001721
54,MLP,0.146,2534.0,0.5826844366320558
55,MLP,0.379,1047.0,1.512584941668145
56,MLP,0.237,2086.0,0.9458644622040906
57,MLP,0.267,1857.0,1.065594140964102
58,MLP,0.284,1695.0,1.1334409589281085
59,MLP,0.468,745.0,1.867782988656179
60,MLP,0.377,1056.0,1.5046029630841442
61,MLP,0.355,1183.0,1.4168011986601357
62,MLP,0.318,1428.0,1.2691345948561217
63,MLP,0.229,2129.0,0.9139365478680875
64,MLP,0.45,788.0,1.7959451814001721
65,MLP,0.382,1037.0,1.524557909544146
66,MLP,0.312,1466.0,1.2451886591041192
67,MLP,0.213,2214.0,0.8500807191960814
68,MLP,0.144,2543.0,0.574702458048055
69,MLP,1.271,35.0,5.072547390132486
70,MLP,0.65,351.0,2.5941430398002487
71,MLP,0.178,2381.0,0.710396093976068
72,MLP,0.133,2592.0,0.5308015758360509
73,MLP,0.185,2346.0,0.7383330190200708
74,MLP,0.652,346.0,2.6021250183842493
75,MLP,0.581,460.0,2.318764778652222
76,MLP,0.361,1137.0,1.4407471344121379
77,MLP,0.305,1520.0,1.2172517340601166
78,MLP,0.283,1710.0,1.129449969636108
79,MLP,0.338,1283.0,1.3489543806961293
80,MLP,0.3,1561.0,1.1972967876001146
81,MLP,0.401,961.0,1.6003867060921533
82,MLP,0.824,162.0,3.288575176608315
83,MLP,0.205,2248.0,0.8181528048600784
84,MLP,0.941,117.0,3.7555209237723597
85,MLP,0.257,1947.0,1.0256842480440982
86,MLP,0.43,866.0,1.7161253955601643
87,MLP,0.224,2146.0,0.8939816014080857
88,MLP,0.165,2439.0,0.658513233180063
89,MLP,0.266,1865.0,1.0616031516721018
90,MLP,0.434,849.0,1.7320893527281658
91,MLP,0.338,1283.0,1.3489543806961293
92,MLP,0.54,553.0,2.1551342176802066
93,MLP,0.509,629.0,2.0314135496281946
94,MLP,0.163,2447.0,0.6505312545960623
95,MLP,0.269,1829.0,1.0735761195481028
96,MLP,1.011,89.0,4.034890174212386
97,MLP,0.292,1622.0,1.1653688732641116
98,MLP,0.327,1361.0,1.305053498484125
99,MLP,0.342,1262.0,1.3649183378641307
100,MLP,0.923,122.0,3.683683116516353
101,MLP,0.42,896.0,1.6762155026401604
102,MLP,0.299,1571.0,1.1933057983081143
103,MLP,0.127,2630.0,0.5068556400840486
104,MLP,0.506,642.0,2.0194405817521934
105,MLP,0.216,2194.0,0.8620536870720825
106,MLP,0.12,2674.0,0.47891871504004585
107,MLP,0.256,1955.0,1.021693258752098
108,MLP,0.202,2260.0,0.8061798369840772
109,MLP,0.195,2289.0,0.7782429119400746
110,MLP,0.453,781.0,1.8079181492761731
111,MLP,0.27,1823.0,1.0775671088401033
112,MLP,0.281,1729.0,1.1214679910521075
113,MLP,0.22,2170.0,0.8780176442400841
114,MLP,0.255,1968.0,1.0177022694600975
115,MLP,0.341,1268.0,1.3609273485721305
116,MLP,0.411,932.0,1.640296599012157
117,MLP,2.021,4.0,8.065789359132772
118,MLP,0.158,2462.0,0.6305763081360604
119,MLP,0.611,407.0,2.4384944574122334
120,MLP,0.145,2538.0,0.5786934473400553
121,MLP,0.133,2592.0,0.5308015758360509
122,MLP,0.338,1283.0,1.3489543806961293
123,MLP,0.179,2374.0,0.7143870832680684
124,MLP,0.278,1754.0,1.1094950231761063
125,MLP,0.473,732.0,1.8877379351161807
126,MLP,0.431,861.0,1.7201163848521648
127,MLP,1.697,7.0,6.772708828524649
128,MLP,0.307,1506.0,1.2252337126441173
129,MLP,0.776,195.0,3.0970076905922967
130,MLP,0.35,1218.0,1.3968462522001337
131,MLP,0.532,576.0,2.1232063033442037
132,MLP,0.679,300.0,2.7098817292682598
133,MLP,0.238,2075.0,0.949855451496091
134,MLP,0.101,2745.0,0.4030899184920386
135,MLP,0.24,2060.0,0.9578374300800917
136,MLP,0.143,2548.0,0.5707114687560546
137,MLP,0.691,281.0,2.7577736007722637
138,MLP,0.429,869.0,1.712134406268164
139,MLP,0.177,2386.0,0.7064051046840676
140,MLP,0.157,2464.0,0.62658531884406
141,MLP,0.341,1268.0,1.3609273485721305
142,MLP,0.255,1968.0,1.0177022694600975
143,MLP,0.971,103.0,3.875250602532371
144,MLP,0.137,2574.0,0.5467655330040524
145,MLP,0.313,1457.0,1.2491796483961197
146,MLP,0.478,719.0,1.9076928815761827
147,MLP,0.285,1679.0,1.1374319482201087
148,MLP,0.156,2469.0,0.6225943295520596
149,MLP,1.077,68.0,4.298295467484412
150,MLP,0.288,1653.0,1.14940491609611
151,MLP,0.585,453.0,2.3347287358202236
152,MLP,0.163,2447.0,0.6505312545960623
153,MLP,0.492,673.0,1.963566731664188
154,MLP,0.128,2625.0,0.510846629376049
155,MLP,0.204,2253.0,0.8141618155680779
156,MLP,0.622,385.0,2.4823953396242375
157,MLP,0.423,881.0,1.6881884705161616
158,MLP,0.126,2640.0,0.5028646507920481
159,MLP,0.465,751.0,1.8558100207801778
160,MLP,0.453,781.0,1.8079181492761731
161,MLP,0.25,2006.0,0.9977473230000956
162,MLP,0.829,158.0,3.3085301230683166
163,MLP,0.217,2186.0,0.8660446763640829
164,MLP,0.373,1077.0,1.4886390059161425
165,MLP,0.285,1679.0,1.1374319482201087
166,MLP,0.259,1929.0,1.033666226628099
167,MLP,0.234,2105.0,0.9338914943280895
168,MLP,0.698,271.0,2.7857105258162664
169,MLP,0.309,1485.0,1.233215691228118
170,MLP,0.675,307.0,2.6939177721002583
171,MLP,0.513,620.0,2.047377506796196
172,MLP,0.356,1177.0,1.420792187952136
173,MLP,0.371,1085.0,1.4806570273321418
174,MLP,0.495,663.0,1.9755396995401893
175,MLP,0.264,1886.0,1.0536211730881009
176,MLP,0.521,605.0,2.079305421132199
177,MLP,0.454,778.0,1.8119091385681736
178,MLP,0.313,1457.0,1.2491796483961197
179,MLP,0.373,1077.0,1.4886390059161425
180,MLP,0.381,1039.0,1.5205669202521457
181,MLP,0.214,2211.0,0.8540717084880818
182,MLP,0.148,2516.0,0.5906664152160566
183,MLP,0.626,377.0,2.4983592967922394
184,MLP,0.387,1013.0,1.544512856004148
185,MLP,0.21,2225.0,0.8381077513200802
186,MLP,0.277,1764.0,1.105504033884106
187,MLP,0.464,754.0,1.8518190314881775
188,MLP,0.417,910.0,1.6642425347641594
189,MLP,0.357,1167.0,1.4247831772441364
190,MLP,0.124,2654.0,0.4948826722080474
191,MLP,0.183,2354.0,0.7303510404360699
192,MLP,0.425,877.0,1.6961704491001623
193,MLP,0.881,137.0,3.5160615662523367
194,MLP,0.553,525.0,2.2070170784762118
195,MLP,0.252,1989.0,1.0057293015840962
196,MLP,0.368,1102.0,1.4686840594561406
197,MLP,0.256,1955.0,1.021693258752098
198,MLP,0.21,2225.0,0.8381077513200802
199,MLP,0.476,724.0,1.899710902992182
200,MLP,0.084,2776.0,0.33524310052803213
201,MLP,0.301,1550.0,1.201287776892115
202,MLP,0.294,1607.0,1.1733508518481124
203,MLP,0.23,2124.0,0.9179275371600879
204,MLP,0.336,1297.0,1.3409724021121285
205,MLP,0.364,1123.0,1.452720102288139
206,MLP,0.279,1743.0,1.1134860124681067
207,MLP,0.133,2592.0,0.5308015758360509
208,MLP,0.331,1330.0,1.3210174556521266
209,MLP,0.216,2194.0,0.8620536870720825
210,MLP,0.345,1245.0,1.3768913057401317
211,MLP,0.503,648.0,2.007467613876192
212,MLP,0.57,481.0,2.2748638964402175
213,MLP,0.359,1156.0,1.4327651558281371
214,MLP,0.588,444.0,2.3467017036962248
215,MLP,0.222,2157.0,0.8859996228240848
216,MLP,0.416,914.0,1.660251545472159
217,MLP,0.463,757.0,1.847828042196177
218,MLP,0.105,2734.0,0.4190538756600401
219,MLP,0.365,1116.0,1.4567110915801396
220,MLP,0.755,208.0,3.0131969154602887
221,MLP,0.419,899.0,1.6722245133481601
222,MLP,0.384,1029.0,1.532539888128147
223,MLP,0.317,1434.0,1.2651436055641212
224,MLP,0.38,1042.0,1.5165759309601452
225,MLP,0.313,1457.0,1.2491796483961197
226,MLP,0.267,1857.0,1.065594140964102
227,MLP,0.209,2234.0,0.8341167620280798
228,MLP,0.459,764.0,1.8318640850281755
229,MLP,0.104,2738.0,0.41506288636803973
230,MLP,0.53,579.0,2.1152243247602027
231,MLP,0.193,2301.0,0.7702609333560738
232,MLP,0.256,1955.0,1.021693258752098
233,MLP,0.287,1661.0,1.1454139268041097
234,MLP,0.38,1042.0,1.5165759309601452
235,MLP,0.328,1352.0,1.3090444877761254
236,MLP,0.327,1361.0,1.305053498484125
237,MLP,0.285,1679.0,1.1374319482201087
238,MLP,0.488,686.0,1.9476027744961866
239,MLP,0.203,2256.0,0.8101708262760776
240,MLP,0.275,1790.0,1.0975220553001053
241,MLP,0.618,390.0,2.466431382456236
242,MLP,0.145,2538.0,0.5786934473400553
243,MLP,0.116,2689.0,0.4629547578720444
244,MLP,0.49,676.0,1.9555847530801873
245,MLP,0.42,896.0,1.6762155026401604
246,MLP,0.3,1561.0,1.1972967876001146
247,MLP,0.262,1908.0,1.0456391945041001
248,MLP,0.364,1123.0,1.452720102288139
249,MLP,0.866,141.0,3.456196726872331
250,MLP,0.361,1137.0,1.4407471344121379
251,MLP,0.692,280.0,2.7617645900642644
