Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
1,RF,0.813,1005.0,2.5625572889171586
2,RF,0.602,1499.0,1.89749014505305
3,RF,1.369,163.0,4.315056492653863
4,RF,0.877,770.0,2.7642838159659884
5,RF,0.586,1648.0,1.8470585132908426
6,RF,0.787,1024.0,2.480605887303572
7,RF,0.885,729.0,2.789499631847092
8,RF,0.637,1332.0,2.0078093395328787
9,RF,0.736,1047.0,2.3198550610615363
10,RF,0.864,862.0,2.723308115159195
11,RF,0.389,2691.0,1.2261190472186654
12,RF,0.916,591.0,2.887210918386369
13,RF,0.569,1912.0,1.7934749045434975
14,RF,1.223,254.0,3.8548678528237215
15,RF,0.873,803.0,2.7516759080254363
16,RF,1.336,175.0,4.211041252144311
17,RF,0.617,1427.0,1.9447697998301194
18,RF,0.736,1047.0,2.3198550610615363
19,RF,0.504,2235.0,1.5885964005095303
20,RF,0.567,1937.0,1.7871709505732214
21,RF,0.539,2136.0,1.6989155949893588
22,RF,0.589,1607.0,1.8565144442462564
23,RF,0.928,542.0,2.9250346422080242
24,RF,0.877,770.0,2.7642838159659884
25,RF,0.483,2300.0,1.522404883821633
26,RF,0.577,1817.0,1.818690720424601
27,RF,0.57,1905.0,1.7966268815286353
28,RF,0.58,1760.0,1.8281466513800149
29,RF,0.913,598.0,2.8777549874309547
30,RF,0.54,2113.0,1.7020675719744969
31,RF,0.684,1230.0,2.155952257834363
32,RF,0.594,1544.0,1.8722743291719464
33,RF,0.611,1454.0,1.9258579379192917
34,RF,0.374,2732.0,1.1788393924415959
35,RF,0.42,2584.0,1.3238303337579418
36,RF,0.544,2068.0,1.7146754799150488
37,RF,0.889,701.0,2.802107539787644
38,RF,0.995,486.0,3.136217100212267
39,RF,1.266,213.0,3.9904028631846535
40,RF,0.73,1080.0,2.3009431991507086
41,RF,0.871,813.0,2.7453719540551607
42,RF,0.537,2165.0,1.692611641019083
43,RF,0.416,2602.0,1.3112224258173901
44,RF,0.39,2687.0,1.2292710242038032
45,RF,0.608,1463.0,1.9164020069638779
46,RF,0.863,865.0,2.720156138174057
47,RF,0.706,1195.0,2.2252957515073977
48,RF,0.569,1912.0,1.7934749045434975
49,RF,0.533,2223.0,1.6800037330785311
50,RF,0.534,2212.0,1.6831557100636692
51,RF,1.51,124.0,4.759485247558315
52,RF,1.123,343.0,3.539670154309926
53,RF,0.414,2607.0,1.304918471847114
54,RF,0.536,2190.0,1.689459664033945
55,RF,0.888,712.0,2.798955562802506
56,RF,0.927,545.0,2.921882665222886
57,RF,0.619,1413.0,1.9510737538003953
58,RF,0.856,898.0,2.698092299278091
59,RF,0.343,2768.0,1.0811281059023192
60,RF,0.38,2715.0,1.1977512543524236
61,RF,0.357,2762.0,1.1252557836942505
62,RF,0.714,1159.0,2.250511567388501
63,RF,0.509,2228.0,1.60435628543522
64,RF,0.848,935.0,2.6728764833969874
65,RF,0.379,2722.0,1.1945992773672858
66,RF,0.705,1204.0,2.2221437745222596
67,RF,0.584,1673.0,1.8407545593205668
68,RF,0.547,2037.0,1.7241314108704626
69,RF,0.963,520.0,3.0353538366878525
70,RF,1.84,13.0,5.799637652653841
71,RF,0.492,2264.0,1.5507726766878749
72,RF,0.579,1786.0,1.824994674394877
73,RF,0.583,1688.0,1.8376025823354287
74,RF,0.449,2465.0,1.4152376663269428
75,RF,0.421,2580.0,1.3269823107430798
76,RF,0.906,625.0,2.855691148534989
77,RF,0.48,2357.0,1.5129489528662192
78,RF,0.715,1152.0,2.253663544373639
79,RF,0.538,2152.0,1.695763618004221
80,RF,1.466,137.0,4.620798260212244
81,RF,0.419,2589.0,1.320678356772804
82,RF,0.619,1413.0,1.9510737538003953
83,RF,0.616,1429.0,1.9416178228449814
84,RF,1.116,357.0,3.51760631541396
85,RF,0.719,1128.0,2.266271452314191
86,RF,0.389,2691.0,1.2261190472186654
87,RF,0.509,2228.0,1.60435628543522
88,RF,1.059,423.0,3.337943627261096
89,RF,0.716,1147.0,2.256815521358777
90,RF,0.534,2212.0,1.6831557100636692
91,RF,0.855,899.0,2.694940322292953
92,RF,0.475,2403.0,1.4971890679405295
93,RF,0.577,1817.0,1.818690720424601
94,RF,0.549,2022.0,1.7304353648407385
95,RF,0.919,575.0,2.8966668493417824
96,RF,0.412,2613.0,1.2986145178768382
97,RF,1.246,230.0,3.9273633234818943
98,RF,0.859,885.0,2.7075482302335048
99,RF,0.892,688.0,2.8115634707430575
100,RF,0.361,2750.0,1.1378636916348024
101,RF,0.608,1463.0,1.9164020069638779
102,RF,0.586,1648.0,1.8470585132908426
103,RF,0.585,1663.0,1.8439065363057048
104,RF,0.907,620.0,2.858843125520127
105,RF,0.817,1000.0,2.5751651968577107
106,RF,0.552,2005.0,1.7398912957961523
107,RF,0.718,1132.0,2.263119475329053
108,RF,1.457,140.0,4.592430467346004
109,RF,0.58,1760.0,1.8281466513800149
110,RF,0.448,2470.0,1.4120856893418048
111,RF,0.569,1912.0,1.7934749045434975
112,RF,0.657,1249.0,2.070848879235638
113,RF,0.793,1020.0,2.4995177492144
114,RF,0.886,722.0,2.7926516088322297
115,RF,0.632,1363.0,1.9920494546071887
116,RF,1.418,158.0,4.469503364925623
117,RF,1.042,440.0,3.2843600185137514
118,RF,0.546,2044.0,1.7209794338853246
119,RF,0.587,1637.0,1.8502104902759806
120,RF,0.563,1982.0,1.7745630426326695
121,RF,0.577,1817.0,1.818690720424601
122,RF,0.543,2083.0,1.7115235029299107
123,RF,0.583,1688.0,1.8376025823354287
124,RF,0.91,608.0,2.868299056475541
125,RF,0.41,2621.0,1.2923105639065622
126,RF,0.865,855.0,2.726460092144333
127,RF,1.275,209.0,4.0187706560508945
128,RF,0.719,1128.0,2.266271452314191
129,RF,0.38,2715.0,1.1977512543524236
130,RF,0.84,953.0,2.6476606675158836
131,RF,0.419,2589.0,1.320678356772804
132,RF,0.59,1592.0,1.8596664212313945
133,RF,0.474,2407.0,1.4940370909553915
134,RF,0.581,1732.0,1.831298628365153
135,RF,0.69,1227.0,2.17486411974519
136,RF,0.544,2068.0,1.7146754799150488
137,RF,1.109,365.0,3.4955424765179943
138,RF,0.905,633.0,2.852539171549851
139,RF,0.583,1688.0,1.8376025823354287
140,RF,0.546,2044.0,1.7209794338853246
141,RF,0.648,1265.0,2.042481086369396
142,RF,0.844,944.0,2.6602685754564357
143,RF,0.478,2385.0,1.5066449988959434
144,RF,1.926,11.0,6.070707673375705
145,RF,0.889,701.0,2.802107539787644
146,RF,1.604,85.0,5.055771084161283
147,RF,0.481,2331.0,1.5161009298513572
148,RF,0.648,1265.0,2.042481086369396
149,RF,1.246,230.0,3.9273633234818943
150,RF,0.604,1487.0,1.903794099023326
151,RF,0.441,2495.0,1.390021850445839
152,RF,0.595,1538.0,1.8754263061570844
153,RF,0.859,885.0,2.7075482302335048
154,RF,0.569,1912.0,1.7934749045434975
155,RF,0.395,2662.0,1.245030909129493
156,RF,0.466,2414.0,1.468821275074288
157,RF,0.646,1285.0,2.0361771323991205
158,RF,0.58,1760.0,1.8281466513800149
159,RF,0.461,2423.0,1.4530613901485983
160,RF,1.281,204.0,4.037682517961723
161,RF,0.567,1937.0,1.7871709505732214
162,RF,0.568,1924.0,1.7903229275583594
163,RF,0.619,1413.0,1.9510737538003953
164,RF,0.883,739.0,2.783195677876816
165,RF,0.597,1528.0,1.8817302601273602
166,RF,0.74,1042.0,2.332462969002088
167,RF,0.868,831.0,2.7359160230997466
168,RF,0.403,2642.0,1.2702467250105967
169,RF,0.395,2662.0,1.245030909129493
170,RF,0.616,1429.0,1.9416178228449814
171,RF,0.868,831.0,2.7359160230997466
172,RF,0.638,1329.0,2.0109613165180167
173,RF,0.403,2642.0,1.2702467250105967
174,RF,0.588,1620.0,1.8533624672611186
175,RF,0.484,2294.0,1.525556860806771
176,RF,1.206,263.0,3.801284244076376
177,RF,0.455,2433.0,1.4341495282377705
178,RF,1.103,376.0,3.4766306146071666
179,RF,0.862,878.0,2.717004161188919
180,RF,0.398,2655.0,1.254486840084907
181,RF,1.062,416.0,3.3473995582165106
182,RF,0.571,1892.0,1.7997788585137733
183,RF,1.988,6.0,6.266130246454258
184,RF,0.627,1395.0,1.976289569681499
185,RF,0.659,1246.0,2.077152833205914
186,RF,0.578,1805.0,1.821842697409739
187,RF,0.548,2028.0,1.7272833878556006
188,RF,0.97,514.0,3.0574176755838183
189,RF,0.38,2715.0,1.1977512543524236
190,RF,0.545,2065.0,1.7178274569001866
191,RF,1.156,304.0,3.643685394819478
192,RF,0.448,2470.0,1.4120856893418048
193,RF,1.564,92.0,4.929692004755765
194,RF,1.776,30.0,5.597911125605012
195,RF,0.48,2357.0,1.5129489528662192
196,RF,0.665,1237.0,2.0960646951167416
197,RF,0.724,1109.0,2.282031337239881
198,RF,1.138,316.0,3.586949809086995
199,RF,0.634,1346.0,1.9983534085774648
