Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
1,RF,0.409,1207.0,1.8564169929128582
2,RF,0.129,2580.0,0.5855202740483099
3,RF,0.205,2259.0,0.9304779548829729
4,RF,0.454,1026.0,2.0606682513018035
5,RF,0.164,2428.0,0.7443823639063785
6,RF,0.329,1713.0,1.4933036446658445
7,RF,0.455,1021.0,2.0652071681548914
8,RF,0.335,1675.0,1.5205371457843706
9,RF,0.557,577.0,2.528176687169834
10,RF,0.543,634.0,2.4646318512266068
11,RF,0.517,744.0,2.346620013046327
12,RF,0.541,644.0,2.455554017520431
13,RF,0.177,2372.0,0.8033882829965181
14,RF,0.143,2520.0,0.6490651099915372
15,RF,0.561,566.0,2.546332354582185
16,RF,0.183,2349.0,0.8306217841150442
17,RF,0.542,639.0,2.460092934373519
18,RF,0.381,1361.0,1.7293273210264035
19,RF,0.331,1701.0,1.50238147837202
20,RF,0.127,2593.0,0.5764424403421345
21,RF,0.236,2128.0,1.0711843773286909
22,RF,0.457,1009.0,2.0742850018610666
23,RF,0.507,778.0,2.3012308445154503
24,RF,0.592,480.0,2.6870387770279023
25,RF,0.306,1844.0,1.3889085570448279
26,RF,0.447,1057.0,2.02889583333019
27,RF,0.389,1315.0,1.7656386558511048
28,RF,0.135,2551.0,0.6127537751668359
29,RF,0.484,875.0,2.196835756894434
30,RF,0.15,2491.0,0.6808375279631509
31,RF,0.356,1531.0,1.6158543996992116
32,RF,0.539,658.0,2.446476183814256
33,RF,0.341,1630.0,1.5477706469028967
34,RF,0.615,423.0,2.7914338646489187
35,RF,0.644,365.0,2.9230624533884617
36,RF,0.108,2694.0,0.49020302013346867
37,RF,0.396,1273.0,1.7974110738227187
38,RF,0.75,210.0,3.404187639815755
39,RF,0.748,213.0,3.3951098061095792
40,RF,0.349,1572.0,1.5840819817275977
41,RF,0.468,949.0,2.1242130872450313
42,RF,0.296,1893.0,1.3435193885139511
43,RF,0.546,622.0,2.47824860178587
44,RF,0.783,173.0,3.5539718959676483
45,RF,0.599,462.0,2.718811194999516
46,RF,0.497,817.0,2.2558416759845734
47,RF,0.341,1630.0,1.5477706469028967
48,RF,0.212,2236.0,0.9622503728545867
49,RF,0.188,2323.0,0.8533163683804825
50,RF,0.166,2423.0,0.7534601976125538
51,RF,0.669,315.0,3.0365353747156534
52,RF,0.744,219.0,3.376954138697229
53,RF,0.656,344.0,2.977529455625514
54,RF,0.111,2678.0,0.5038197706927318
55,RF,0.494,824.0,2.2422249254253104
56,RF,0.321,1752.0,1.456992309841143
57,RF,0.279,1967.0,1.266357802011461
58,RF,0.447,1057.0,2.02889583333019
59,RF,0.8,158.0,3.6311334824701387
60,RF,0.343,1607.0,1.5568484806090719
61,RF,0.544,628.0,2.469170768079694
62,RF,0.388,1324.0,1.7610997389980172
63,RF,0.185,2337.0,0.8396996178212195
64,RF,0.617,420.0,2.8005116983550944
65,RF,0.33,1707.0,1.4978425615189321
66,RF,0.352,1555.0,1.5976987322868608
67,RF,0.14,2534.0,0.6354483594322743
68,RF,0.188,2323.0,0.8533163683804825
69,RF,0.857,125.0,3.889851743096136
70,RF,0.459,999.0,2.083362835567242
71,RF,0.14,2534.0,0.6354483594322743
72,RF,0.13,2574.0,0.5900591909013975
73,RF,0.227,2178.0,1.0303341256509018
74,RF,0.698,273.0,3.1681639634551955
75,RF,0.87,113.0,3.9488576621862754
76,RF,0.384,1345.0,1.7429440715856666
77,RF,0.237,2126.0,1.0757232941817785
78,RF,0.338,1654.0,1.5341538963436336
79,RF,0.334,1682.0,1.515998228931283
80,RF,0.353,1550.0,1.6022376491399486
81,RF,0.573,530.0,2.6007993568192367
82,RF,0.8,158.0,3.6311334824701387
83,RF,0.157,2457.0,0.7126099459347647
84,RF,0.717,250.0,3.2544033836638615
85,RF,0.34,1636.0,1.5432317300498088
86,RF,0.503,796.0,2.2830751771030995
87,RF,0.182,2353.0,0.8260828672619565
88,RF,0.141,2529.0,0.6399872762853619
89,RF,0.352,1555.0,1.5976987322868608
90,RF,0.417,1177.0,1.8927283277375595
91,RF,0.478,903.0,2.169602255775908
92,RF,0.265,2031.0,1.2028129660682334
93,RF,0.883,103.0,4.007863581276415
94,RF,0.225,2185.0,1.0212562919447266
95,RF,0.338,1654.0,1.5341538963436336
96,RF,0.688,289.0,3.122774794924319
97,RF,0.481,888.0,2.183219006335171
98,RF,0.361,1500.0,1.6385489839646499
99,RF,0.621,410.0,2.818667365767445
100,RF,0.913,85.0,4.144031086869045
101,RF,0.504,791.0,2.2876140939561873
102,RF,0.318,1777.0,1.44337555928188
103,RF,0.153,2473.0,0.6944542785224139
104,RF,0.623,404.0,2.8277451994736205
105,RF,0.296,1893.0,1.3435193885139511
106,RF,0.152,2479.0,0.6899153616693263
107,RF,0.304,1856.0,1.3798307233386526
108,RF,0.142,2525.0,0.6445261931384495
109,RF,0.252,2082.0,1.1438070469780937
110,RF,0.705,262.0,3.1999363814268094
111,RF,0.303,1863.0,1.3752918064855648
112,RF,0.396,1273.0,1.7974110738227187
113,RF,0.276,1983.0,1.252741051452198
114,RF,0.34,1636.0,1.5432317300498088
115,RF,0.31,1823.0,1.4070642244571787
116,RF,0.278,1974.0,1.2618188851583731
117,RF,0.883,103.0,4.007863581276415
118,RF,0.192,2303.0,0.8714720357928333
