Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,2.105,1.0,10.382502996369976
1910,GAM,1.673,2.0,8.251747037019939
522,GAM,1.598,3.0,7.881824127410557
1129,GAM,1.596,4.0,7.87195951648764
96,GAM,1.521,5.0,7.502036606878257
2188,GAM,1.462,6.0,7.211030584652211
1530,GAM,1.409,7.0,6.949618395194915
2300,GAM,1.406,8.0,6.934821478810539
2404,GAM,1.386,9.0,6.836175369581371
2436,GAM,1.367,10.0,6.742461565813661
1972,GAM,1.267,11.0,6.2492310196678185
1009,GAM,1.251,12.0,6.170314132284484
2584,GAM,1.238,13.0,6.106194161285525
193,GAM,1.237,14.0,6.101261855824067
748,GAM,1.208,15.0,5.958224997441772
2274,GAM,1.205,16.0,5.943428081057397
2158,GAM,1.181,17.0,5.825052749982396
1169,GAM,1.178,18.0,5.81025583359802
2004,GAM,1.151,19.0,5.677083586138642
100,GAM,1.148,20.0,5.662286669754267
2085,GAM,1.139,21.0,5.617895920601141
539,GAM,1.138,22.0,5.612963615139682
2486,GAM,1.134,23.0,5.593234393293849
2724,GAM,1.117,24.0,5.509385200449056
1172,GAM,1.116,25.0,5.504452894987598
294,GAM,1.113,26.0,5.489655978603222
511,GAM,1.109,27.0,5.469926756757388
1885,GAM,1.093,28.0,5.391009869374054
2318,GAM,1.093,28.0,5.391009869374054
679,GAM,1.085,30.0,5.351551425682387
1871,GAM,1.084,31.0,5.346619120220929
2130,GAM,1.082,32.0,5.336754509298012
70,GAM,1.078,33.0,5.317025287452178
2541,GAM,1.073,34.0,5.292363760144886
2259,GAM,1.072,35.0,5.287431454683428
1697,GAM,1.068,36.0,5.2677022328375935
1749,GAM,1.05,37.0,5.178920734531342
69,GAM,1.037,38.0,5.114800763532382
318,GAM,1.036,39.0,5.109868458070924
1185,GAM,1.032,40.0,5.090139236225091
1371,GAM,1.023,41.0,5.045748487071964
1010,GAM,1.017,42.0,5.016154654303214
84,GAM,1.013,43.0,4.99642543245738
307,GAM,1.009,44.0,4.976696210611546
1649,GAM,1.006,45.0,4.961899294227171
606,GAM,1.003,46.0,4.947102377842795
425,GAM,1.0,47.0,4.932305461458421
1758,GAM,0.998,48.0,4.922440850535504
2177,GAM,0.998,48.0,4.922440850535504
149,GAM,0.988,50.0,4.87311779592092
297,GAM,0.986,51.0,4.863253184998003
476,GAM,0.973,52.0,4.799133213999044
1853,GAM,0.973,52.0,4.799133213999044
1681,GAM,0.97,54.0,4.784336297614668
1484,GAM,0.969,55.0,4.77940399215321
1837,GAM,0.969,55.0,4.77940399215321
1423,GAM,0.968,57.0,4.774471686691752
1360,GAM,0.96,58.0,4.7350132430000835
2648,GAM,0.953,59.0,4.700487104769874
287,GAM,0.949,60.0,4.680757882924041
1476,GAM,0.948,61.0,4.675825577462582
527,GAM,0.937,62.0,4.621570217386541
2047,GAM,0.936,63.0,4.616637911925082
818,GAM,0.935,64.0,4.611705606463624
2583,GAM,0.933,65.0,4.601840995540707
1121,GAM,0.932,66.0,4.596908690079249
