Site,Reference_Model,Average_Relative_Error,Rank,Mean_over_SDofMean
900,GAM,2.28,1.0,10.562482177714434
1910,GAM,1.688,2.0,7.819942945606125
1129,GAM,1.681,3.0,7.787514272253494
193,GAM,1.542,4.0,7.143573472822657
294,GAM,1.537,5.0,7.120410134713635
2300,GAM,1.517,6.0,7.027756782277542
522,GAM,1.504,7.0,6.967532103194084
885,GAM,1.491,8.0,6.907307424110624
96,GAM,1.411,9.0,6.536694014366258
2188,GAM,1.369,10.0,6.342121974250466
2259,GAM,1.356,11.0,6.281897295167006
2422,GAM,1.356,11.0,6.281897295167006
1697,GAM,1.33,13.0,6.161447937000087
1837,GAM,1.312,14.0,6.078059919807605
2177,GAM,1.303,15.0,6.036365911211363
2583,GAM,1.299,16.0,6.017835240724145
2130,GAM,1.284,17.0,5.948345226397077
581,GAM,1.263,18.0,5.85105920633918
1681,GAM,1.255,19.0,5.813997865364743
2158,GAM,1.252,20.0,5.80009986249933
1972,GAM,1.246,21.0,5.772303856768502
1009,GAM,1.238,22.0,5.735242515794066
307,GAM,1.234,23.0,5.716711845306848
2648,GAM,1.234,23.0,5.716711845306848
2199,GAM,1.232,25.0,5.707446510063239
287,GAM,1.223,26.0,5.665752501466998
2274,GAM,1.206,27.0,5.58699715189632
2541,GAM,1.2,28.0,5.559201146165492
748,GAM,1.189,29.0,5.508241802325642
100,GAM,1.182,30.0,5.47581312897301
1597,GAM,1.16,31.0,5.3738944412933085
2689,GAM,1.139,32.0,5.276608421235413
1345,GAM,1.129,33.0,5.2302817450173675
318,GAM,1.116,34.0,5.170057065933908
539,GAM,1.115,35.0,5.165424398312103
2110,GAM,1.111,36.0,5.146893727824885
2004,GAM,1.091,37.0,5.054240375388793
1778,GAM,1.086,38.0,5.031077037279771
1428,GAM,1.083,39.0,5.017179034414356
1885,GAM,1.079,40.0,4.998648363927138
970,GAM,1.073,41.0,4.970852358196311
425,GAM,1.069,42.0,4.952321687709093
951,GAM,1.068,43.0,4.947689020087289
1649,GAM,1.065,44.0,4.933791017221874
2047,GAM,1.063,45.0,4.924525681978265
149,GAM,1.058,46.0,4.901362343869242
2724,GAM,1.048,47.0,4.8550356676511965
955,GAM,1.044,48.0,4.836504997163979
2085,GAM,1.042,49.0,4.827239661920369
1185,GAM,1.039,50.0,4.813341659054955
740,GAM,1.038,51.0,4.808708991433151
220,GAM,1.03,52.0,4.771647650458714
1749,GAM,1.026,53.0,4.753116979971496
1729,GAM,1.024,54.0,4.7438516447278865
1169,GAM,1.02,55.0,4.7253209742406685
35,GAM,1.019,56.0,4.720688306618864
1871,GAM,1.019,56.0,4.720688306618864
1012,GAM,1.013,58.0,4.692892300888036
1853,GAM,1.013,58.0,4.692892300888036
476,GAM,1.009,60.0,4.674361630400817
302,GAM,1.007,61.0,4.665096295157208
527,GAM,1.005,62.0,4.655830959913599
2318,GAM,1.0,63.0,4.632667621804577
