GAM,RF,BRT,MLP
900.0,2266.0,570.0,1419
1910.0,979.0,527.0,818
522.0,904.0,904.0,1361
1129.0,1255.0,923.0,117
96.0,923.0,2583.0,1121
2188.0,1437.0,2029.0,1749
1530.0,351.0,2047.0,127
2300.0,2284.0,979.0,1169
2404.0,1931.0,539.0,2159
2436.0,2583.0,748.0,1345
1972.0,220.0,2266.0,2633
1009.0,1824.0,2284.0,1355
2584.0,1105.0,2084.0,1960
193.0,2023.0,1931.0,2486
748.0,1020.0,2609.0,2004
2274.0,2084.0,1255.0,2085
2158.0,1025.0,1910.0,964
1169.0,878.0,351.0,1748
2004.0,1419.0,318.0,1114
100.0,527.0,878.0,35
2085.0,1439.0,900.0,2724
539.0,2305.0,1437.0,1135
2486.0,1475.0,2305.0,2318
2724.0,951.0,2177.0,821
1172.0,2501.0,476.0,1604
294.0,570.0,358.0,1697
511.0,2047.0,2076.0,1686
1885.0,2609.0,2158.0,638
2318.0,748.0,996.0,1995
679.0,476.0,294.0,694
1871.0,2290.0,1837.0,955
2130.0,1090.0,601.0,1639
70.0,358.0,149.0,1681
2541.0,996.0,262.0,761
2259.0,1129.0,1419.0,69
1697.0,193.0,1025.0,507
1749.0,1345.0,1129.0,382
69.0,2076.0,1114.0,2648
318.0,405.0,1503.0,1910
1185.0,1837.0,,2255
1371.0,262.0,,408
1010.0,2542.0,,1847
84.0,2659.0,,1614
307.0,968.0,,1371
1649.0,292.0,,674
606.0,1692.0,,307
425.0,2673.0,,2110
1758.0,2158.0,,586
2177.0,318.0,,2455
149.0,429.0,,312
297.0,1250.0,,1190
476.0,2029.0,,2432
1853.0,1910.0,,1879
1681.0,2010.0,,2731
1484.0,2130.0,,2443
1837.0,900.0,,539
1423.0,2689.0,,1953
1360.0,874.0,,2259
2648.0,294.0,,32
287.0,2177.0,,2047
1476.0,539.0,,1406
527.0,1954.0,,39
2047.0,2552.0,,300
818.0,1825.0,,1885
2583.0,879.0,,325
1121.0,1647.0,,2722
740.0,1312.0,,1729
1412.0,2054.0,,149
2690.0,1220.0,,900
1428.0,601.0,,369
1572.0,1080.0,,431
2295.0,,,581
2209.0,,,1009
127.0,,,849
1040.0,,,1656
1070.0,,,1764
2110.0,,,1255
1355.0,,,1972
168.0,,,318
844.0,,,403
1243.0,,,467
1377.0,,,2776
951.0,,,2274
1012.0,,,856
1503.0,,,1423
2290.0,,,297
1114.0,,,2188
160.0,,,1010
1361.0,,,96
2339.0,,,1107
2022.0,,,1920
1729.0,,,1644
1413.0,,,522
636.0,,,2450
581.0,,,2497
1151.0,,,2149
1025.0,,,2758
1892.0,,,1360
2443.0,,,556
2731.0,,,2515
39.0,,,2130
775.0,,,527
556.0,,,143
1406.0,,,1484
1597.0,,,2281
1778.0,,,1476
638.0,,,2013
288.0,,,2561
1255.0,,,1815
1345.0,,,2089
815.0,,,1311
2689.0,,,294
2758.0,,,402
885.0,,,1503
1004.0,,,2209
2432.0,,,1025
143.0,,,84
570.0,,,2158
714.0,,,2474
302.0,,,1526
865.0,,,1172
1314.0,,,100
1419.0,,,1165
176.0,,,2177
306.0,,,837
2199.0,,,1912
1700.0,,,933
1518.0,,,606
2298.0,,,1291
220.0,,,418
955.0,,,511
1096.0,,,2026
1692.0,,,1453
2149.0,,,1040
1924.0,,,323
35.0,,,1377
797.0,,,193
249.0,,,732
255.0,,,1690
1584.0,,,2030
761.0,,,249
2509.0,,,719
2422.0,,,1523
,,,1530
,,,2703
,,,425
