GAM,RF,BRT,MLP
910,2160.0,1718.0,2110.0
1307,1610.0,16.0,1508.0
2202,1812.0,448.0,1534.0
558,2155.0,2176.0,761.0
181,2550.0,998.0,399.0
2174,183.0,1245.0,1597.0
14,241.0,380.0,1396.0
273,1663.0,479.0,483.0
1236,600.0,1750.0,931.0
2029,2313.0,2753.0,1207.0
2772,144.0,1373.0,2107.0
1345,392.0,2664.0,51.0
425,70.0,39.0,2546.0
1649,679.0,1984.0,1058.0
2685,1871.0,2625.0,592.0
1626,724.0,539.0,955.0
231,2349.0,284.0,3.0
539,2534.0,14.0,711.0
284,2480.0,1485.0,471.0
1960,1263.0,937.0,2218.0
2625,2665.0,1390.0,2052.0
527,2762.0,1096.0,2378.0
722,354.0,1626.0,2578.0
570,1187.0,570.0,270.0
1607,2192.0,160.0,116.0
2765,2535.0,1413.0,375.0
1012,2236.0,2584.0,1287.0
1428,2422.0,1997.0,1817.0
2732,1770.0,1114.0,2072.0
474,194.0,,2574.0
191,430.0,,502.0
2565,2693.0,,1906.0
2392,1321.0,,1496.0
964,1543.0,,932.0
2121,1556.0,,220.0
1448,2559.0,,830.0
2525,1180.0,,1692.0
2011,2295.0,,1714.0
928,740.0,,497.0
1984,2689.0,,1004.0
2317,970.0,,1078.0
645,1004.0,,1180.0
989,2298.0,,2182.0
1290,2185.0,,2298.0
1909,1621.0,,2472.0
2683,2378.0,,2569.0
1114,2130.0,,577.0
1485,1627.0,,1822.0
176,2132.0,,2295.0
714,830.0,,740.0
2210,1817.0,,1465.0
1093,2632.0,,652.0
1327,1913.0,,2689.0
1368,2213.0,,970.0
2345,2719.0,,193.0
2110,2736.0,,281.0
1355,2770.0,,287.0
2478,931.0,,372.0
326,1207.0,,872.0
612,2107.0,,2236.0
1755,1724.0,,1834.0
1287,2016.0,,574.0
1096,496.0,,354.0
998,1503.0,,1615.0
39,215.0,,2339.0
593,1038.0,,2707.0
1884,1350.0,,699.0
1534,419.0,,648.0
1727,1458.0,,1727.0
955,2138.0,,600.0
648,2229.0,,1385.0
761,2570.0,,2380.0
1058,2637.0,,1924.0
1206,1567.0,,2012.0
2546,1051.0,,2112.0
2583,211.0,,1411.0
591,232.0,,1585.0
1419,421.0,,2016.0
1906,370.0,,2632.0
1133,459.0,,1114.0
1265,2416.0,,1206.0
2052,2707.0,,1913.0
2574,1615.0,,1627.0
2712,2189.0,,724.0
294,146.0,,2349.0
592,2112.0,,2534.0
1837,2574.0,,108.0
51,1385.0,,1503.0
480,2012.0,,2777.0
652,2380.0,,
1465,1924.0,,
1714,193.0,,
2648,287.0,,
2730,281.0,,
2731,372.0,,
471,872.0,,
2218,1508.0,,
2396,497.0,,
1611,2720.0,,
2182,2604.0,,
2472,2263.0,,
2569,1917.0,,
436,2062.0,,
483,1348.0,,
1868,2477.0,,
2438,1585.0,,
327,592.0,,
577,1411.0,,
634,627.0,,
779,291.0,,
1139,2546.0,,
1718,1534.0,,
1822,521.0,,
2072,399.0,,
2271,1393.0,,
2331,483.0,,
2536,2339.0,,
375,270.0,,
2578,2057.0,,
699,1297.0,,
3,1104.0,,
711,955.0,,
951,2277.0,,
399,51.0,,
84,1396.0,,
116,2578.0,,
275,1718.0,,
606,276.0,,
681,1680.0,,
953,2052.0,,
1597,2090.0,,
2159,505.0,,
408,502.0,,
507,2774.0,,
2054,1262.0,,
2541,2651.0,,
1356,80.0,,
1991,466.0,,
2394,1507.0,,
117,108.0,,
1418,2777.0,,
1748,2110.0,,
1936,577.0,,
2290,1822.0,,
2177,2182.0,,
1856,2472.0,,
1150,2569.0,,
664,648.0,,
1627,2238.0,,
2145,389.0,,
1080,1206.0,,
1647,1672.0,,
1496,761.0,,
932,1906.0,,
1243,1266.0,,
1385,932.0,,
1924,1496.0,,
2012,116.0,,
2380,220.0,,
198,,,
2632,,,
830,,,
1913,,,
336,,,
828,,,
2382,,,
2486,,,
2557,,,
2633,,,
1572,,,
611,,,
763,,,
2774,,,
80,,,
270,,,
466,,,
1704,,,
2333,,,
2634,,,
1078,,,
1172,,,
276,,,
1680,,,
1834,,,
1997,,,
2090,,,
2651,,,
497,,,
505,,,
574,,,
816,,,
2381,,,
2719,,,
2736,,,
2770,,,
160,,,
1413,,,
2584,,,
797,,,
1348,,,
2197,,,
2207,,,
2477,,,
638,,,
1075,,,
1161,,,
1266,,,
2277,,,
2499,,,
2604,,,
127,,,
511,,,
1467,,,
2263,,,
380,,,
479,,,
1750,,,
215,,,
220,,,
368,,,
1038,,,
1104,,,
1245,,,
1262,,,
1350,,,
1840,,,
2538,,,
88,,,
1180,,,
1507,,,
1692,,,
1484,,,
108,,,
2777,,,
799,,,
1373,,,
2491,,,
2664,,,
2753,,,
1567,,,
2229,,,
1411,,,
1585,,,
2213,,,
1621,,,
2185,,,
937,,,
1390,,,
2099,,,
2378,,,
16,,,
643,,,
808,,,
291,,,
627,,,
1051,,,
1522,,,
1669,,,
1917,,,
2062,,,
232,,,
1125,,,
421,,,
1686,,,
2339,,,
2298,,,
793,,,
1004,,,
1508,,,
448,,,
1817,,,
2176,,,
389,,,
1672,,,
2238,,,
300,,,
419,,,
1458,,,
2295,,,
2570,,,
2637,,,
370,,,
459,,,
740,,,
1393,,,
1503,,,
1637,,,
1735,,,
2092,,,
2273,,,
2416,,,
970,,,
2689,,,
211,,,
1297,,,
1396,,,
1530,,,
2404,,,
2436,,,
521,,,
1724,,,
2236,,,
146,,,
931,,,
1207,,,
1615,,,
2107,,,
2189,,,
2707,,,
354,,,
600,,,
496,,,
885,,,
2199,,,
2016,,,
1556,,,
2112,,,
2138,,,
302,,,
1778,,,
2720,,,
502,,,
724,,,
2132,,,
2349,,,
2534,,,
2130,,,
193,,,
1770,,,
287,,,
281,,,
372,,,
872,,,
1263,,,
2665,,,
2762,,,
2480,,,
2535,,,
1812,,,
2057,,,
2155,,,
2550,,,
70,,,
679,,,
1871,,,
2313,,,
194,,,
2422,,,
183,,,
241,,,
1187,,,
2192,,,
1663,,,
144,,,
2693,,,
430,,,
1543,,,
1321,,,
392,,,
2559,,,
